ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
4acb02,NSZ3518 ,8.7167,54.1647,10363.2,225.29
ad4f72,JBU2197 ,-93.28,45.1433,10370.82,211.62
4acb04,NSZ5330 ,-0.3284,38.3456,1859.28,150.08
3c664e,DLH7JV  ,11.7431,56.683,10363.2,233.39
ac96df,JANET10 ,-117.4836,35.4488,5303.52,157.81
ab034d,AAL151  ,-5.7876,56.6672,11574.78,251.34
ab63e9,VAR833  ,-112.0536,33.0945,1356.36,63.62
ad3c1f,ASA1230 ,-122.0525,37.2051,1691.64,120.63
a4d826,N411DD  ,-73.1656,41.2003,182.88,32.9
e80259,LPE2085 ,-76.3848,-7.1294,3108.96,164.08
3c6664,DLH5EL  ,9.6821,52.4649,,9.77
e80258,LPE2071 ,-76.5903,-12.9482,8077.2,222.93
a9b3df,N724R   ,-73.3284,40.6648,548.64,41.7
abb3b6,AAL836  ,-98.1863,33.6551,5524.5,205.48
3c6662,DLH77Y  ,6.95,49.7363,7322.82,190.6
e8024d,ARE4063 ,-74.348,4.5644,4732.02,162.21
3c6678,DLH1YE  ,11.1211,48.644,4678.68,196.65
a03d11,N114WP  ,-117.8467,34.1264,731.52,43.73
ad3c48,NCR841  ,-92.496,29.6656,11277.6,255.23
a2d2eb,ENY3780 ,-75.611,23.8558,10058.4,226.41
511171,MBU6304 ,-7.9697,37.0196,,0.06
511172,MBU6608 ,27.0898,36.7962,,37.04
a6409b,N5014R  ,-103.0734,33.6581,3589.02,68.12
3c666c,DLH12N  ,5.3705,42.8633,10378.44,272.38
e80267,LPE2382 ,-78.0874,-8.6612,10965.18,236.97
402aee,GBOJW   ,-1.217,50.8086,68.58,31.65
e48120,GLO1563 ,-46.2277,-22.2603,7063.74,213.39
48cb15,TVP7394 ,-5.8387,37.4137,10888.98,217.25
a8e37c,DAL1416 ,-82.9006,36.8123,11887.2,240.56
3c6671,DLH24E  ,2.8888,41.4548,3429.0,162.77
e80269,LPE2306 ,-78.4693,-10.101,10858.5,233.29
3c6675,DLH58E  ,6.9682,49.7186,8092.44,219.75
a58e1e,SWA1067 ,-111.4645,35.4021,11582.4,223.99
3c6674,DLH62P  ,6.8533,45.1759,10370.82,272.01
a2d2f2,AAY2260 ,-99.8095,41.8985,10668.0,248.32
e8025e,LPE2123 ,-76.0766,-12.9456,7932.42,235.15
a34e9b,TWY11   ,-119.8891,35.4484,8839.2,240.66
a34e9d,DAL1501 ,-89.6868,42.5076,7559.04,247.8
e8025f,LPE2266 ,-75.5536,-12.1415,9456.42,241.74
a963f7,FFT1239 ,-74.7956,38.8061,10370.82,238.8
a1b2ee,JBU939  ,-85.3942,32.7523,9738.36,236.6
ac234f,UAL2082 ,-100.6551,43.7933,10888.98,216.69
a3a533,N334FL  ,-80.0516,40.22,861.06,79.41
471efa,WZZ149  ,12.0934,51.7234,11277.6,269.8
acdffc,DAL703  ,-109.6652,37.3389,9448.8,253.54
a3a538,FFT622  ,-101.6715,41.6366,11285.22,255.45
471efe,WZZ9028 ,-7.9748,38.9208,5829.3,159.67
38b23b,FDZ007  ,13.0882,41.0132,11879.58,234.3
ad90a3,AAL1230 ,-111.4301,32.8784,5181.6,181.06
a21b7c,CWG505  ,-108.7002,34.5633,13716.0,207.24
a22275,CXK418  ,-81.8413,30.1737,1432.56,51.54
e80279,LPE2143 ,-78.3537,-10.3233,8823.96,254.7
e80278,LPE2110 ,-76.7332,-12.9214,7696.2,225.38
3c666f,DLH4JC  ,8.6307,49.9291,1234.44,150.73
ac3688,SWA4147 ,-93.0898,39.5836,10972.8,227.45
a6fe05,N55KT   ,-119.339,38.9278,11582.4,220.16
a59529,N459SP  ,-96.258,32.6883,396.24,46.48
adecb6,DAL1686 ,-93.0692,44.5021,2110.74,146.76
aae371,N800SD  ,-80.3107,25.9115,99.06,61.32
ace6e2,AAL2565 ,-82.7612,36.7675,10972.8,214.1
ad4f81,JRE957  ,-81.0609,44.1886,12192.0,232.39
ac1042,SWA321  ,-85.3841,42.8336,10363.2,207.01
3b93ff,,2.3561,48.7245,,12.35
a5e509,N4791E  ,-80.6346,28.0994,213.36,32.14
a3b86c,DAL2380 ,-75.7306,39.8806,9906.0,238.19
a53ee2,UAL359  ,-93.1617,35.9634,10370.82,230.88
505f15,EXS16KU ,8.695,48.6923,11277.6,233.41
e48106,GLO1647 ,-47.3318,-23.2876,6393.18,179.22
a88072,NKS900  ,-91.0245,30.08,10980.42,241.32
a94b51,UAL2316 ,-106.6482,40.1038,8039.1,251.55
