ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
4b180b,EDW394  ,8.5565,47.4536,,0.0
4952af,TAP237  ,-68.4915,41.2334,11887.2,224.76
4b1858,HBJFS   ,8.0012,48.9439,12672.06,226.91
3c6668,DLH803  ,8.5716,50.049,,1.03
e8023b,ARE4042 ,-74.2064,3.9543,7078.98,205.9
a9acfa,N722WM  ,-95.9702,33.8393,2133.6,61.27
ae26be,C6607   ,-74.55,39.4317,236.22,72.21
4b1850,HBJFK   ,23.0742,44.7347,10058.4,197.12
abacd2,UAL1544 ,-77.7189,41.4776,10058.4,259.2
a90383,DAL2177 ,-80.6068,35.6417,10058.4,247.02
4acb01,NSZ5372 ,0.6026,38.6461,6804.66,230.61
470bed,HAENL   ,19.6955,46.6716,1036.32,49.48
4b1857,HBJFR   ,7.4316,47.3072,4533.9,184.51
3c665a,AHO721  ,21.6431,37.7373,12496.8,234.72
ad4f72,JBU2197 ,-92.4879,43.797,10363.2,212.48
a830f2,N627HE  ,-87.1716,40.6343,899.16,80.77
a8e382,N672DS  ,-76.9449,40.1331,1501.14,54.21
ab63e9,VAR833  ,-112.3646,33.4333,,0.0
ad3c1f,ASA801  ,-122.3056,47.4339,,0.9
e80252,LPE2071 ,-77.0635,-12.9707,7437.12,209.24
e49443,AZU5093 ,-46.4911,-23.3886,5875.02,171.66
abb3b6,AAL2517 ,-99.3322,41.0613,10972.8,231.0
ab0361,AAL1557 ,-76.3866,39.9159,6126.48,216.34
7101ef,HZXY7   ,14.9651,39.7184,10675.62,233.83
e8024d,ARE4398 ,-74.0763,4.7511,3444.24,121.03
e8024f,LPE2013 ,-75.3862,-12.88,10668.0,215.39
511174,ESSAS   ,12.0778,43.6092,8229.6,139.43
a950f7,N7MH    ,-80.2057,35.2325,6949.44,140.05
511172,MBU6610 ,22.6988,41.4283,10683.24,227.29
abb3be,DAL107  ,-58.6706,49.5575,10972.8,235.24
a46e8d,HAL15   ,-117.1789,32.7299,,2.57
e80267,LPE2134 ,-77.1922,-11.8645,914.4,89.97
a127a0,N1737A  ,-98.3432,29.8683,1341.12,39.45
e0b1cf,JES3184 ,-58.9319,-35.0435,8267.7,176.06
3c6671,DLH7WY  ,8.5644,50.0454,,1.03
3c6670,DLH73N  ,8.5686,50.0446,,9.77
3c6676,DLH17K  ,-8.0347,37.0249,601.98,92.63
ac83d5,EDV5486 ,-80.8241,35.1265,1859.28,128.91
3c6675,DLH6KV  ,9.5271,49.5088,3291.84,182.53
3c6674,DLH6LX  ,14.3868,49.2513,10363.2,234.2
a58e1e,SWA54   ,-87.7545,41.7814,,6.69
3442cb,ANE12YA ,2.7985,39.6762,2026.92,144.96
a34e9d,DAL2558 ,-122.0124,46.7336,8397.24,192.8
adfff6,NY31    ,-88.7399,33.0737,2339.34,170.05
ac234f,UAL397  ,-112.7381,38.9628,11582.4,216.82
471efa,WZZ076  ,18.8371,43.4391,10058.4,222.31
acdffc,DAL2532 ,-119.6091,44.609,10972.8,234.53
3c667a,DLH02F  ,-7.7906,39.8615,6781.8,261.18
a8f682,AVL224  ,-77.8859,39.2309,335.28,35.29
e4941b,AZU8706 ,-54.9384,-12.0926,10972.8,253.13
e80270,LPE2233 ,-76.0131,-8.199,11582.4,236.45
471efe,WZZ3TC  ,19.407,47.3527,723.9,92.85
471eff,WMT7ZM  ,14.5905,47.263,10378.44,226.18
471efc,WZZ2152 ,15.8155,41.7873,10370.82,230.29
471efd,WZZ5010 ,-0.2245,51.2049,1249.68,126.53
e80276,LPE2305 ,-78.9198,-8.4334,11277.6,228.2
e80278,LPE2421 ,-77.136,-11.9779,182.88,69.94
3c666f,DLH33A  ,2.0664,41.2128,1036.32,102.59
ac3688,SWA3796 ,-81.2716,35.6451,4549.14,170.56
a1b2fa,N2086W  ,-85.8328,31.8707,2407.92,70.26
44029f,AUA435  ,5.3106,40.8485,9997.44,220.49
e8026e,LPE2306 ,-77.1273,-12.0893,609.6,126.87
adecb6,DAL2147 ,-92.0392,36.6452,7955.28,239.86
adffe6,WIZZO01 ,-98.3179,29.606,617.22,98.02
e8026d,LPE2110 ,-77.0285,-12.4229,5059.68,176.24
7c6b3f,VHVGX   ,-105.5769,38.3711,12192.0,248.73
a9acf2,N722WD  ,-115.6021,36.0671,2887.98,83.62
a46e6a,FFT1090 ,-81.6496,28.5349,3398.52,187.89
3442c2,ANE23GD ,1.2071,40.8894,3665.22,133.96
a5e509,N4791E  ,-81.1341,28.037,899.16,48.07
3d6008,DFIPS   ,-5.9597,53.1497,647.7,65.5
abf025,SWA1880 ,-91.3009,37.6822,12192.0,241.94
ac70c2,N900SF  ,-77.3523,28.7751,11894.82,234.99
a53ee2,UAL2646 ,-105.7568,36.5083,10370.82,228.74
a4c527,RPA4595 ,-70.9942,42.3873,99.06,64.79
a8e35b,N672CC  ,-93.8164,37.3737,1485.9,53.56
ab0392,N809CV  ,-91.6352,38.2976,1165.86,85.23
e48104,GLO1340 ,-47.7562,-20.3969,10927.08,240.53
505f15,EXS89WU ,3.9169,51.8216,10668.0,237.93
4b184e,PJS800  ,-36.224,-7.7706,13098.78,235.86
a88072,NKS230  ,-83.4554,32.8403,5265.42,194.31
c01b6c,JZA568  ,-74.9563,44.8804,4899.66,213.16
ac21e4,DAL1688 ,-99.2074,35.8718,10668.0,251.11
a94b51,UAL286  ,-84.5612,40.5734,9570.72,241.43
3455da,VOE73DB ,4.8414,43.3481,9761.22,206.5
adda1e,AAL1940 ,-93.6546,34.2759,9144.0,254.89
a94b50,UAL1957 ,-81.624,35.7936,6355.08,203.88
a7258b,N56L    ,-83.2674,35.5792,13716.0,224.28
abad94,SWA1960 ,-75.0747,24.4088,10668.0,249.03
adda32,N992BH  ,-116.0802,43.4284,2926.08,95.61
a88bea,N65RT   ,-81.7556,41.7638,1356.36,108.47
a69b92,ASA1296 ,-121.0816,43.8083,11285.22,214.64
a28402,N261PJ  ,-73.7501,41.0952,1104.9,80.53
a02a0d,N11CA   ,-84.3262,33.9164,586.74,58.21
ae74db,ZEUS12  ,-78.8322,35.4723,426.72,55.91
a94b4d,UAL1606 ,-77.4399,38.9369,,10.29
a127d3,CXK168  ,-111.6438,33.3027,525.78,39.69
0d0ae5,VTM628  ,-94.2809,31.6379,4785.36,114.39
0d0ae8,SLI2062 ,-99.289,20.4882,9212.58,229.84
0c4141,HI915   ,-69.956,17.8183,12192.0,194.48
4845c0,HNL07B  ,4.5155,53.2424,655.32,68.38
a9a215,KEN7878 ,-122.8426,48.3681,1363.98,69.85
a8e2c6,N6717K  ,-96.887,44.1019,1043.94,62.39
accd69,DAL957  ,-108.0731,35.5569,10972.8,233.16
c02e8f,JZA959  ,-85.9593,42.7032,7239.0,201.88
3c65ab,DLH8P   ,11.8199,48.3668,,0.13
4b187a,SWR16F  ,-64.9644,47.2259,11887.2,230.72
a05770,N121AG  ,8.0596,47.4325,2453.64,69.11
440248,EJU67UM ,-0.4227,50.85,3360.42,146.41
3455d8,VOE86BY ,2.4526,48.8553,8839.2,189.69
3455d9,VOE40UW ,12.3352,45.3729,3124.2,140.96
3c65c3,DLH24E  ,5.6657,45.3405,11277.6,212.6
715ccf,,,,10370.82,216.47
e8020c,LPE2252 ,-79.441,-7.4515,11285.22,233.75
3c65c1,DLH8VL  ,7.3987,50.4107,8397.24,211.27
ad079a,N939FE  ,-97.4109,33.0447,914.4,91.21
a6a2ca,N52689  ,-122.4496,48.539,739.14,59.16
a5d26d,N47406  ,-75.5547,39.985,396.24,42.23
ae010f,SCORE01 ,-76.7957,37.3316,6576.06,195.34
a1773d,N194CD  ,-89.2815,30.192,2712.72,74.54
a6f251,,,,,57.53
a0f4a2,DAL109  ,-59.8577,44.6287,10972.8,229.48
44023f,EJU91HQ ,15.8185,47.8033,11574.78,226.27
ad3ae6,N505AF  ,-75.1806,40.7803,1531.62,53.61
ac1afa,SWA4913 ,-105.3588,39.6395,5501.64,193.6
3c5ee5,EWG465  ,2.5128,51.2039,10066.02,236.19
e8021b,LPE2085 ,-76.9686,-11.8026,5128.26,193.52
acd46e,N92595  ,-82.6321,39.7699,457.2,46.86
3c5ee9,EWG1WK  ,16.0918,45.6325,10972.8,225.68
ad914b,N9731F  ,-80.473,27.0596,396.24,32.41
a71291,LXJ555  ,-74.6607,42.8059,8938.26,257.54
4acb23,NSZ3523 ,12.5136,55.8451,2004.06,152.86
a915e5,N685BB  ,-83.8526,34.2047,929.64,54.66
3c65d2,DLH92A  ,3.8195,45.6621,10668.0,212.67
3c65d1,DLH85J  ,-3.0397,37.2487,10378.44,228.91
e8021f,ARE4060 ,-74.1455,4.7037,,7.46
adda48,N992CE  ,-83.0674,42.5673,4427.22,197.9
aded77,JBU2869 ,-71.552,38.9128,8839.2,251.59
a46283,N3818T  ,-87.7685,37.0857,2552.7,70.86
acd486,DAL2556 ,-91.1068,39.4779,9761.22,229.75
ae146e,RCH345  ,-3.8694,50.6076,9753.6,212.58
3c5ee4,EWG73TB ,15.7958,48.6767,7315.2,182.21
3c5ee2,EWG34EM ,10.4017,48.7267,7498.08,240.05
3c5ee1,EWG38E  ,4.3173,52.6544,11277.6,269.46
3c65cf,DLH4RW  ,12.8065,43.5817,10965.18,239.5
3c65ce,DLH9VY  ,15.8578,43.5934,3329.94,190.97
ac7183,N900ZZ  ,-97.3561,32.8472,510.54,64.47
46b82a,AEE4MI  ,24.0399,38.1338,2834.64,135.32
a94b48,UAL2292 ,-99.1196,42.5221,10363.2,227.5
aded74,N997JH  ,-82.2661,39.034,3017.52,101.92
46b82b,AEE530  ,12.0368,48.8035,10370.82,236.13
3c5eea,EWG2TX  ,8.7712,49.2669,11148.06,211.56
3c65d8,DLH2533 ,17.1121,45.0666,10370.82,233.2
3c65d7,DLH4PH  ,-0.387,51.4778,243.84,70.48
3c65d6,DLH6ML  ,0.9995,51.662,5059.68,164.16
3c65d5,DLH7JF  ,-0.4285,51.4777,99.06,66.88
a04424,SKW5723 ,-88.1499,41.4581,4876.8,172.19
3c65d9,DLH32T  ,0.4221,38.8072,4556.76,210.89
3c5ef5,EWG6902 ,6.7625,51.2819,,6.69
e80247,LAN650  ,,,,200.38
3c65ca,DLH882  ,20.1328,56.9875,10675.62,281.25
440219,EJU79QL ,7.0198,43.7171,3794.76,149.58
ac490c,N891AA  ,-80.7085,28.0831,4541.52,141.82
a34dbf,BMJ1324 ,-93.9134,45.6727,4251.96,102.08
3d10eb,,10.6298,49.3733,,46.23
a8a84e,N657SC  ,-116.6651,43.9925,2476.5,62.76
392d46,FGLKG   ,2.1063,48.7529,152.4,22.29
a94b0b,UAL315  ,-80.2059,26.0772,205.74,73.58
a33aa7,EDV4936 ,-78.675,35.9773,800.1,74.21
44020a,AUA785B ,25.0556,44.8137,3924.3,178.78
0c4182,DWI3014 ,-70.1205,17.9302,5699.76,181.4
0c4183,,-69.9349,17.8217,5539.74,186.59
440209,EJU15AB ,0.1691,51.0967,1402.08,117.6
43ee43,2COOK   ,-4.1293,55.1924,7620.0,186.41
acd47e,ASA1096 ,-122.303,47.4469,,0.0
ac491d,DAL1686 ,-89.2944,43.642,8229.6,222.93
a101c3,AAL2748 ,-120.7746,46.129,8229.6,212.37
a94b29,UAL361  ,-96.2589,40.6794,10058.4,247.09
a5958c,SWA2911 ,-115.162,36.0766,937.26,85.93
a73882,N56425  ,-97.6932,35.6808,1310.64,64.84
a4ab5c,N40MA   ,-97.4711,33.0144,1508.76,89.21
a5f87d,N484LP  ,-82.6888,29.1995,1950.72,41.3
a70b2f,GJS4506 ,-81.3299,39.8146,11277.6,255.9
ac718d,N9000J  ,-121.8484,39.0762,60.96,54.73
46b823,AEE65R  ,14.7495,41.1224,10363.2,250.04
a808f3,N617CB  ,-73.3253,44.6333,5676.9,194.21
a8584c,N637FT  ,-80.5681,27.9596,0.0,29.84
46b826,AEE1SC  ,23.3025,37.7826,2903.22,143.17
a15d6c,N18728  ,-82.1839,27.7983,685.8,50.03
43ee39,2CAZZ   ,0.807,50.9657,2880.36,174.85
a367ca,N3186Y  ,-114.7057,36.7122,2865.12,54.54
ae017a,TRICK04 ,-89.718,40.6268,685.8,100.59
aa099e,JBU123  ,-118.4086,33.9361,,0.06
aaef21,VXP638  ,-81.1697,28.9049,11277.6,227.85
a8eea1,DAL1512 ,-84.5982,33.3623,4191.0,200.44
4cc2a5,ICE7EZ  ,4.1021,53.428,8008.62,251.21
aa3ce8,N759QT  ,-96.5898,33.1537,251.46,41.24
51110a,SAS051  ,17.8033,59.6412,487.68,77.36
c01b4f,WJA569  ,-114.0168,51.1307,,5.66
a6fe89,N55R    ,-102.8565,37.9385,6705.6,126.79
44022b,AUA8KX  ,2.0173,38.7634,5257.8,221.37
a39d0a,N3318V  ,-82.352,27.2993,624.84,62.07
a247f0,SKW3942 ,-107.6005,40.121,10972.8,219.86
511110,SAS2603 ,18.6705,54.2226,10668.0,246.09
a234c0,ASH6153 ,-93.172,32.7335,10668.0,218.32
a7c2a4,N6AY    ,-121.7421,39.4379,2286.0,72.65
a0311d,DAL2099 ,-84.6099,39.3409,3368.04,173.99
47880f,NSZ5030 ,-3.5236,39.1875,11582.4,246.53
0d0aba,SLI2529 ,-97.5325,18.5805,7924.8,213.13
aa56f8,UAL2461 ,-100.014,37.0702,10972.8,216.67
a94b05,UAL2163 ,-77.693,37.8903,5173.98,201.31
a8a82f,QXE2105 ,-121.9977,47.6054,3017.52,146.23
47880d,SAS935  ,9.5311,57.7906,9753.6,231.88
a928e2,N69FH   ,-86.9544,36.188,1927.86,150.41
a94b08,UAL364  ,-99.7937,38.8525,10363.2,223.79
aaf60a,SKW4149 ,-82.6845,42.5026,4808.22,176.39
a39d11,UCA4882 ,-77.8831,42.3592,5090.16,215.58
a1ad0f,N207LS  ,-91.1882,32.9129,2895.6,58.68
a27d1c,N26EV   ,-104.8481,40.5098,1889.76,44.42
a88bad,N65PG   ,-96.4748,31.5913,13106.4,232.24
a0a761,N141L   ,-70.5315,42.0609,670.56,111.69
a8320e,UPS77   ,141.8743,36.3723,10058.4,247.9
aa931d,UAL71   ,-73.9838,42.3435,4899.66,205.79
0c4153,HI1045  ,-59.4939,7.9416,11849.1,205.05
a6a2c4,N52683  ,-86.023,35.553,1249.68,54.08
a7bbb2,LXJ598  ,-115.9737,41.1709,13106.4,218.2
a5de8e,,-80.7648,27.698,746.76,88.69
a091fd,FDX431  ,-99.3797,34.9341,11285.22,247.46
abc726,N858XJ  ,-85.983,32.976,1493.52,63.08
ab6418,N833GC  ,-114.6822,36.0319,998.22,63.87
a8f701,,-117.7905,34.0916,335.28,50.97
800dac,IGO435  ,77.1298,11.3783,7818.12,206.66
5110bf,TFL807  ,,,,0.0
800db8,IAD560  ,76.927,28.121,3863.34,187.08
7c7cce,JST107  ,116.6369,-30.3929,9944.1,212.52
a3a4e4,N334CG  ,-91.9132,30.1971,9448.8,147.61
c03517,WJA215  ,-79.6818,47.2985,10972.8,192.83
a40d62,N360MC  ,-121.8373,37.5164,1524.0,132.29
a2d44a,OXF9846 ,-111.1468,33.0363,2377.44,54.21
800dae,SEJ7317 ,83.5663,21.8051,11574.78,236.68
ace718,CITT40  ,-97.3033,37.8413,1043.94,85.58
a41447,FFT2001 ,-113.9613,35.7279,5486.4,196.74
800dba,IGO578  ,76.8509,13.1665,6705.6,198.45
343194,VLG458L ,1.9927,38.9058,6111.24,201.27
ac34a1,PCM8650 ,-122.0325,39.0708,2125.98,87.21
a33ad3,N307RJ  ,-77.6792,39.4768,1082.04,48.66
ac34a0,FDX5601 ,133.155,32.6559,10058.4,234.84
ab5d2c,DAL29   ,-13.1196,52.9142,9753.6,229.26
a4aaad,N40EA   ,-89.1855,40.0427,2438.4,92.72
8014b3,IGO6126 ,77.379,29.8843,8473.44,208.15
8014b4,IGO6875 ,77.3749,11.6335,4076.7,138.23
c0481d,ACA295  ,-115.6378,49.9335,10972.8,200.41
a069a8,N1257X  ,-98.6834,30.463,2240.28,57.93
ab774b,AAL429  ,-77.0393,38.8528,,6.43
4a09b1,AEZ9845 ,9.9581,45.6069,1303.02,90.04
c0481b,ROU1651 ,-73.8662,45.3835,670.56,90.29
a63a0f,N500BF  ,-81.0759,30.5941,12192.0,248.92
c0481c,ROU1540 ,-64.1231,46.3355,4168.14,195.69
4a09b2,AEZ3815 ,11.7706,42.8208,11887.2,237.04
8014ae,VTI912  ,76.0478,23.2609,5996.94,209.24
aa4414,N7601S  ,-72.4964,41.0798,1226.82,68.85
ad0722,N939AK  ,,,,36.53
a6a425,NKS51   ,-111.8996,35.4602,9144.0,224.12
ac47e2,N8901U  ,-98.0516,40.9918,2438.4,80.4
a39113,EDV5432 ,-76.1859,36.9091,60.96,63.89
393322,AFR74UV ,2.0664,48.8954,4046.22,195.71
4aca82,NSZ3374 ,17.4383,50.556,10668.0,246.42
ad072a,DAL2868 ,-85.2883,34.5652,7429.5,235.63
accd10,ASA408  ,-99.931,44.9918,10668.0,264.75
4aca84,NSZ5DM  ,-2.9009,42.3672,10980.42,257.78
ad9d0f,N97650  ,-81.3057,29.059,243.84,47.94
393320,AFR7309 ,7.0485,43.2732,3909.06,161.54
a69aaa,N52436  ,-112.2007,33.3193,784.86,57.83
a857cf,N637AT  ,-72.172,42.4886,5798.82,174.62
a03164,N111RC  ,6.8566,43.6153,7620.0,131.71
393324,AFR33FH ,4.1704,47.8043,7924.8,232.75
a5477c,N4394L  ,-83.6598,33.1639,1417.32,57.89
a64d4c,SRY1501 ,-150.0365,61.1677,297.18,97.46
accd18,DAL2820 ,-79.9929,36.0402,10058.4,240.05
aaedcb,FDY392  ,-77.6258,39.3593,1112.52,98.59
5110e2,SAS2751 ,13.0891,55.3399,4236.72,191.06
a0f4f6,DAL45   ,-71.9292,41.2758,7338.06,220.13
5110e8,SAS2987 ,12.7269,55.8139,1356.36,137.37
5110e9,SAS1920 ,11.1151,60.1953,,11.32
43ee26,2CAMP   ,-1.9556,37.5948,10972.8,191.29
a1a132,N204DH  ,-78.6203,40.7815,7620.0,239.97
5110e1,SAS1745 ,17.9267,59.6553,,0.0
ad9d1b,BXR8603 ,-123.1145,38.9978,1615.44,66.21
a91700,NKS859  ,-79.9238,26.0666,1920.24,122.05
a3f473,JBU1246 ,-75.7154,39.1781,9448.8,251.15
a9529a,N70EA   ,-88.7914,41.4033,4389.12,56.6
a63a27,N500CE  ,-82.301,28.95,2103.12,160.39
a1b449,RPA5844 ,-73.8742,40.7791,,1.54
5110ca,SAS44A  ,17.9882,59.6711,2476.5,150.09
a0e1cf,N156PS  ,-111.9947,41.0385,1760.22,59.09
800da5,SEJ8152 ,87.9429,26.1263,10660.38,234.16
ac7103,AAL2425 ,-98.4251,33.636,6797.04,210.68
a234ef,ENY3819 ,-93.9017,30.1921,9448.8,227.43
aaf4c8,DAL437  ,-122.3599,37.6371,251.46,94.86
a88d15,N650DR  ,-90.8984,34.9818,13106.4,217.25
a63a32,N500CR  ,-100.2361,31.0219,6400.8,123.32
402b12,GBOLV   ,-0.1928,50.8683,563.88,32.93
4aca8a,NSZ5336 ,0.6634,41.1252,10972.8,253.13
a7d725,EDV5484 ,-85.821,32.6834,5143.5,199.33
a1ad5a,SKW5586 ,-120.1231,44.8912,8595.36,181.72
a234f6,AAY502  ,-80.9382,28.3314,10500.36,227.15
aa3d03,N759RV  ,,,,71.52
a3f401,DAL1660 ,-89.8401,37.7162,5585.46,189.35
a27190,AMF1978 ,-122.4008,45.314,3916.68,98.09
a6f28c,GJS4380 ,-84.3131,39.8561,1242.06,117.93
758323,CEB490  ,121.0855,14.5453,426.72,63.36
ab6458,JRE833  ,-85.4157,37.8732,1242.06,127.71
758321,APG608  ,121.3663,13.6925,5494.02,174.83
3c5efa,EWG3VY  ,9.5849,48.7579,1508.76,112.36
a0093e,N101JL  ,-84.7094,34.2434,5029.2,159.23
484673,PHFTO   ,9.1211,51.716,1417.32,51.53
a4d7b9,N4109F  ,-81.921,33.2827,944.88,94.06
a2c170,N277KT  ,-81.5425,28.364,243.84,57.1
8014dc,IGO2207 ,78.1671,26.5925,11574.78,240.29
3b7b63,MILAN75 ,4.7668,44.6216,3048.0,122.28
0d0b8b,AMX824  ,-98.7399,19.5741,5082.54,163.62
3c5eef,EWG94XE ,5.1559,51.8571,11277.6,277.44
8014da,VTI809  ,77.0333,23.6076,11887.2,233.0
3c5eee,EWG7EZ  ,7.1275,50.8816,137.16,65.54
4520e0,HLR555  ,24.3643,38.923,8923.02,203.4
8014de,IGO2201 ,78.4443,26.7788,9387.84,248.85
a7c2fc,N6EL    ,-101.6878,31.4014,10972.8,236.85
a16fa0,N192AG  ,-112.3885,33.4092,342.9,37.36
7c1c95,FD519   ,138.5272,-34.9475,,9.26
3c65da,DLH8HW  ,11.7347,48.3604,1074.42,77.66
ac2dea,AAL316  ,-95.0791,29.8389,11582.4,226.27
a069e4,N1259M  ,-121.8215,37.3386,,4.89
758335,PAL535  ,113.9636,3.7813,10972.8,249.77
4c49e2,PNC3T   ,9.0124,50.0895,12496.8,220.54
4c49e1,YUSPB   ,16.0505,41.6423,12192.0,214.48
a41487,EDG362  ,-87.5793,31.407,13106.4,239.12
8014f2,AKJ1541 ,88.6074,22.8909,1988.82,98.65
49530b,TAP15NC ,-5.7281,39.6923,9456.42,206.51
8014ed,VTI722  ,77.8755,28.3505,3604.26,131.0
4400eb,EJU39GT ,5.5585,45.6839,5181.6,168.01
75831c,PAL211  ,121.0329,13.3758,6858.0,231.52
