ICAO24,Callsign,Longitude,Latitude,Baro_Altitude,Velocity
4952af,TAP237  ,-68.5194,41.2348,11887.2,224.28
4b1858,HBJFS   ,8.0095,48.924,12565.38,225.78
3c6668,DLH803  ,8.5716,50.049,,1.03
e8023b,ARE4042 ,-74.2064,3.9543,7078.98,205.9
a9acfa,N722WM  ,-95.9645,33.8406,2133.6,61.77
ae26be,C6607   ,-74.55,39.4317,236.22,72.21
4b1850,HBJFK   ,23.1069,44.7329,10058.4,197.12
abacd2,UAL1544 ,-77.6875,41.4732,10005.06,259.2
a90383,DAL2177 ,-80.5853,35.6566,10058.4,247.02
4acb01,NSZ5372 ,0.6251,38.6531,6880.86,232.23
470bed,HAENL   ,19.6955,46.6716,1036.32,49.48
4b1857,HBJFR   ,7.4311,47.3131,4511.04,185.49
3c665a,AHO721  ,21.6431,37.7373,12496.8,234.72
ad4f72,JBU2197 ,-92.5153,43.8009,10370.82,211.37
a830f2,N627HE  ,-87.1716,40.6343,899.16,80.77
a8e382,N672DS  ,-76.9498,40.1368,1470.66,53.11
ab63e9,VAR833  ,-112.3646,33.4333,,0.0
ad3c1f,ASA801  ,-122.3056,47.4339,,0.9
e80252,LPE2071 ,-77.0598,-12.983,7490.46,210.37
e49443,AZU5093 ,-46.5036,-23.3807,5798.82,171.53
abb3b6,AAL2517 ,-99.3497,41.0761,10972.8,230.62
ab0361,AAL1557 ,-76.4127,39.9169,6225.54,216.9
7101ef,HZXY7   ,14.9651,39.7184,10675.62,233.83
e8024d,ARE4398 ,-74.0729,4.7627,3482.34,127.13
e8024f,LPE2013 ,-75.3862,-12.88,10668.0,215.39
511174,ESSAS   ,12.0935,43.609,8229.6,139.43
a950f7,N7MH    ,-80.2058,35.2314,6949.44,140.05
511172,MBU6610 ,22.7145,41.4106,10683.24,227.58
abb3be,DAL107  ,-58.6706,49.5575,10972.8,235.24
e80267,LPE2134 ,-77.1885,-11.8716,861.06,89.27
a127a0,N1737A  ,-98.3432,29.8683,1341.12,39.93
e0b1cf,JES3184 ,-58.9478,-35.0536,8374.38,175.02
3c6671,DLH7WY  ,8.5645,50.0456,,0.77
3c6670,DLH73N  ,8.5686,50.0446,,9.77
3c6676,DLH17K  ,-8.0463,37.0265,655.32,97.09
ac83d5,EDV5486 ,-80.8241,35.1265,1859.28,135.52
3c6675,DLH6KV  ,9.5197,49.5236,3215.64,182.53
3c6674,DLH6LX  ,14.3596,49.2642,10363.2,233.48
a58e1e,SWA54   ,-87.7545,41.7814,,6.69
3442cb,ANE12YA ,2.8137,39.6812,1927.86,143.61
a34e9d,DAL2558 ,-122.0444,46.8876,7833.36,178.83
adfff6,NY31    ,-88.7454,33.0578,2324.1,163.95
ac234f,UAL397  ,-112.764,38.9587,11582.4,216.82
471efa,WZZ076  ,18.8371,43.4391,10058.4,222.31
acdffc,DAL2532 ,-119.6362,44.6193,10972.8,234.77
3c667a,DLH02F  ,-7.7684,39.8786,6842.76,261.91
a8f682,AVL224  ,-77.8893,39.2292,358.14,32.31
e4941b,AZU8706 ,-54.9516,-12.0726,10972.8,253.13
e80270,LPE2233 ,-76.0234,-8.2177,11582.4,236.49
471efe,WZZ3TC  ,19.3977,47.3585,662.94,88.11
471eff,WMT7ZM  ,14.5588,47.2659,10370.82,226.94
471efc,WZZ2152 ,15.8153,41.7892,10370.82,230.29
471efd,WZZ5010 ,-0.2063,51.2064,1249.68,127.18
e80276,LPE2305 ,-78.9193,-8.4343,11277.6,228.2
e80278,LPE2421 ,-77.136,-11.9779,182.88,69.94
3c666f,DLH33A  ,2.0697,41.2032,1082.04,111.12
ac3688,SWA3796 ,-81.2616,35.6311,4465.32,169.42
a1b2fa,N2086W  ,-85.8366,31.8764,2407.92,68.91
44029f,AUA435  ,5.291,40.8341,9875.52,220.49
e8026e,LPE2306 ,-77.1273,-12.0893,609.6,126.87
adecb6,DAL2147 ,-92.0587,36.6541,7840.98,238.65
adffe6,WIZZO01 ,-98.3248,29.6162,624.84,100.76
e8026d,LPE2110 ,-77.0312,-12.4174,5029.2,176.47
7c6b3f,VHVGX   ,-105.6063,38.3729,12192.0,248.73
a9acf2,N722WD  ,-115.6096,36.0713,2933.7,84.21
a46e6a,FFT1090 ,-81.6677,28.5277,3451.86,194.1
3442c2,ANE23GD ,1.2054,40.9015,3665.22,133.45
a5e509,N4791E  ,-81.1341,28.037,899.16,46.94
3d6008,DFIPS   ,-5.9597,53.1497,647.7,65.5
abf025,SWA1880 ,-91.3174,37.6663,12192.0,241.94
ac70c2,N900SF  ,-77.3523,28.7751,11894.82,234.99
a53ee2,UAL2646 ,-105.7813,36.5146,10363.2,228.74
a4c527,RPA4595 ,-70.9975,42.3807,60.96,65.09
a8e35b,N672CC  ,-93.8109,37.3733,1493.52,52.16
ab0392,N809CV  ,-91.6352,38.2976,1165.86,85.23
e48104,GLO1340 ,-47.7562,-20.3969,10927.08,240.53
505f15,EXS89WU ,3.9498,51.8126,10668.0,238.13
4b184e,PJS800  ,-36.224,-7.7706,13098.78,235.86
a88072,NKS230  ,-83.4554,32.8403,5265.42,194.31
c01b6c,JZA568  ,-74.934,44.8939,4739.64,212.04
ac21e4,DAL1688 ,-99.1778,35.8702,10668.0,251.11
a94b51,UAL286  ,-84.5813,40.5652,9616.44,241.43
3455da,VOE73DB ,4.8165,43.3489,9761.22,206.48
adda1e,AAL1940 ,-93.6559,34.2755,9144.0,254.89
a94b50,UAL1957 ,-81.6364,35.8096,6461.76,203.18
a7258b,N56L    ,-83.2668,35.5772,13716.0,224.18
abad94,SWA1960 ,-75.0747,24.4088,10668.0,249.03
adda32,N992BH  ,-116.0716,43.4235,2971.8,96.25
a88bea,N65RT   ,-81.7556,41.7638,1356.36,108.47
a69b92,ASA1296 ,-121.0802,43.8025,11285.22,214.64
a28402,N261PJ  ,-73.7445,41.1019,1143.0,80.63
a02a0d,N11CA   ,-84.3234,33.9115,556.26,57.31
ae74db,ZEUS12  ,-78.8292,35.4672,426.72,57.53
a94b4d,UAL1606 ,-77.4399,38.9369,,10.29
a127d3,CXK168  ,-111.6438,33.3027,525.78,39.69
0d0ae5,VTM628  ,-94.2868,31.6285,4800.6,114.84
0d0ae8,SLI2062 ,-99.289,20.4882,9212.58,229.84
0c4141,HI915   ,-69.956,17.8183,12192.0,194.48
4845c0,HNL07B  ,4.5096,53.2481,647.7,68.22
a9a215,KEN7878 ,-122.8387,48.362,1394.46,69.85
a8e2c6,N6717K  ,-96.887,44.1019,1043.94,62.39
accd69,DAL957  ,-108.0986,35.5544,10972.8,233.22
c02e8f,JZA959  ,-85.9816,42.6991,7155.18,201.01
3c65ab,DLH8P   ,11.778,48.3636,464.82,0.13
4b187a,SWR16F  ,-64.9882,47.2105,11887.2,230.35
a05770,N121AG  ,8.0508,47.4291,2446.02,70.26
440248,EJU67UM ,-0.4034,50.8522,3352.8,147.34
3455d8,VOE86BY ,2.4387,48.84,8839.2,189.69
3455d9,VOE40UW ,12.3207,45.3652,3215.64,146.42
3c65c3,DLH24E  ,5.6493,45.3246,11277.6,213.32
715ccf,,,,10370.82,216.47
e8020c,LPE2252 ,-79.4291,-7.4746,11277.6,233.99
3c65c1,DLH8VL  ,7.3704,50.4191,8412.48,214.54
ad079a,N939FE  ,-97.4134,33.0528,891.54,90.34
a6a2ca,N52689  ,-122.4496,48.539,739.14,59.16
a5d26d,N47406  ,-75.5547,39.985,396.24,42.23
ae010f,SCORE01 ,-76.8079,37.3155,6637.02,195.25
a1773d,N194CD  ,-89.2736,30.1928,2712.72,74.54
a6f251,,,,,57.53
a0f4a2,DAL109  ,-59.8577,44.6287,10972.8,229.48
44023f,EJU91HQ ,15.8115,47.8242,11574.78,226.27
ad3ae6,N505AF  ,-75.1846,40.7841,1531.62,52.79
ac1afa,SWA4913 ,-105.38,39.6324,5585.46,194.75
3c5ee5,EWG465  ,2.2137,51.2421,9738.36,236.78
e8021b,LPE2085 ,-76.9728,-11.7857,5257.8,193.02
acd46e,N92595  ,-82.6321,39.7699,457.2,46.86
3c5ee9,EWG1WK  ,16.0918,45.6325,10972.8,225.68
ad914b,N9731F  ,-80.473,27.0596,396.24,32.41
a71291,LXJ555  ,-74.6299,42.8139,8877.3,256.43
4acb23,NSZ3523 ,12.5388,55.8445,1920.24,151.91
a915e5,N685BB  ,-83.8526,34.2047,929.64,54.66
3c65d2,DLH92A  ,3.7967,45.6491,10668.0,211.64
3c65d1,DLH85J  ,-3.0397,37.2487,10378.44,228.91
e8021f,ARE4060 ,-74.1455,4.7037,,7.46
adda48,N992CE  ,-83.0674,42.5673,4427.22,197.9
aded77,JBU2869 ,-71.552,38.9128,8839.2,251.59
a46283,N3818T  ,-87.7663,37.0866,2552.7,70.87
acd486,DAL2556 ,-91.1258,39.4939,9761.22,229.72
ae146e,RCH345  ,-3.8995,50.6037,9753.6,212.48
3c5ee4,EWG73TB ,15.7722,48.6844,7315.2,182.67
3c5ee2,EWG34EM ,10.4356,48.7279,7551.42,242.64
3c5ee1,EWG38E  ,4.3321,52.6582,11277.6,269.46
3c65cf,DLH4RW  ,12.7961,43.603,10965.18,239.68
3c65ce,DLH9VY  ,15.8578,43.5934,3329.94,190.97
ac7183,N900ZZ  ,-97.3561,32.8472,510.54,63.07
46b82a,AEE4MI  ,24.0248,38.139,2956.56,137.33
a94b48,UAL2292 ,-99.1196,42.5221,10363.2,227.5
aded74,N997JH  ,-82.2583,39.037,3017.52,101.92
46b82b,AEE530  ,11.7662,48.9105,10370.82,236.13
3c5eea,EWG2TX  ,8.7554,49.2895,11125.2,212.24
3c65d8,DLH2533 ,17.0913,45.0818,10363.2,232.84
3c65d7,DLH4PH  ,-0.397,51.4778,198.12,66.36
3c65d6,DLH6ML  ,0.9756,51.6617,4953.0,163.64
3c65d5,DLH7JF  ,-0.4285,51.4777,99.06,66.88
a04424,SKW5723 ,-88.1584,41.443,4960.62,173.33
3c65d9,DLH32T  ,0.4221,38.8072,4556.76,210.89
3c5ef5,EWG6902 ,6.7625,51.2819,,6.69
e80247,LAN650  ,,,,199.38
3c65ca,DLH882  ,20.1732,57.0017,10675.62,280.97
440219,EJU79QL ,7.0091,43.7295,3848.1,154.87
ac490c,N891AA  ,-80.7046,28.071,4541.52,138.22
a34dbf,BMJ1324 ,-93.9203,45.6806,4251.96,102.26
3d10eb,,10.6299,49.3785,,45.36
a8a84e,N657SC  ,-116.6651,43.9925,2476.5,62.76
392d46,FGLKG   ,2.1063,48.7529,152.4,22.29
a94b0b,UAL315  ,-80.2059,26.0772,205.74,73.58
a33aa7,EDV4936 ,-78.675,35.9773,800.1,74.21
44020a,AUA785B ,25.0777,44.8061,3840.48,176.94
0c4182,DWI3014 ,-70.1205,17.9302,5699.76,181.4
0c4183,,-69.9262,17.8418,5410.2,186.59
440209,EJU15AB ,0.1827,51.103,1379.22,112.06
43ee43,2COOK   ,-4.1127,55.1791,7620.0,185.99
acd47e,ASA1096 ,-122.303,47.4469,,0.9
ac491d,DAL1686 ,-89.315,43.6554,8260.08,223.35
a101c3,AAL2748 ,-120.7504,46.1191,8229.6,212.63
a94b29,UAL361  ,-96.2289,40.6816,10058.4,247.09
a5958c,SWA2911 ,-115.172,36.0768,1074.42,88.01
a73882,N56425  ,-97.6886,35.6856,1348.74,64.84
a4ab5c,N40MA   ,-97.464,33.008,1508.76,88.81
a5f87d,N484LP  ,-82.6918,29.2027,1950.72,40.9
a70b2f,GJS4506 ,-81.3427,39.8167,11277.6,255.9
ac718d,N9000J  ,-121.8484,39.0762,60.96,54.73
46b823,AEE65R  ,14.7194,41.1306,10340.34,249.7
a808f3,N617CB  ,-73.3253,44.6333,5676.9,194.21
a8584c,N637FT  ,-80.5681,27.9596,0.0,29.84
46b826,AEE1SC  ,23.3025,37.7826,2903.22,143.17
a15d6c,N18728  ,-82.1839,27.7983,685.8,50.03
43ee39,2CAZZ   ,0.806,50.9672,3436.62,174.37
a367ca,N3186Y  ,-114.7057,36.7128,2865.12,54.54
ae017a,TRICK04 ,-89.7097,40.6217,678.18,99.63
aa099e,JBU123  ,-118.4086,33.9361,,0.06
aaef21,VXP638  ,-81.178,28.9251,11277.6,228.33
a8eea1,DAL1512 ,-84.5824,33.3489,4221.48,202.99
4cc2a5,ICE7EZ  ,4.0931,53.4515,8084.82,252.33
aa3ce8,N759QT  ,-96.5898,33.1537,251.46,41.24
51110a,SAS051  ,17.8163,59.6429,441.96,72.24
c01b4f,WJA569  ,-114.017,51.1312,,5.66
a6fe89,N55R    ,-102.8639,37.9487,6705.6,126.72
44022b,AUA8KX  ,2.0394,38.7725,5341.62,222.52
a39d0a,N3318V  ,-82.352,27.2993,624.84,62.07
a247f0,SKW3942 ,-107.6005,40.121,10972.8,219.86
511110,SAS2603 ,18.6874,54.2011,10668.0,246.3
a234c0,ASH6153 ,-93.1668,32.7398,10668.0,218.61
a7c2a4,N6AY    ,-121.744,39.4446,2324.1,73.15
a0311d,DAL2099 ,-84.5971,39.3542,3421.38,178.0
47880f,NSZ5030 ,-3.5236,39.1875,11582.4,247.08
0d0aba,SLI2529 ,-97.5325,18.5805,7924.8,213.13
aa56f8,UAL2461 ,-100.0412,37.0695,10972.8,216.67
a94b05,UAL2163 ,-77.6834,37.9074,5052.06,199.69
a8a82f,QXE2105 ,-121.978,47.6022,3154.68,147.73
47880d,SAS935  ,9.5051,57.8083,9753.6,231.96
a928e2,N69FH   ,-86.9574,36.2008,2080.26,152.29
a94b08,UAL364  ,-99.8182,38.8527,10363.2,223.79
aaf60a,SKW4149 ,-82.7037,42.4963,4732.02,176.18
a39d11,UCA4882 ,-77.888,42.3384,5143.5,216.0
a1ad0f,N207LS  ,-91.1874,32.9134,2895.6,59.11
a27d1c,N26EV   ,-104.843,40.5105,1889.76,45.6
a88bad,N65PG   ,-96.4748,31.5913,13106.4,232.24
a0a761,N141L   ,-70.5447,42.0621,624.84,103.22
a8320e,UPS77   ,141.8743,36.3723,10058.4,247.9
aa931d,UAL71   ,-73.9916,42.3257,4899.66,206.28
0c4153,HI1045  ,-59.4939,7.9416,11849.1,205.05
a6a2c4,N52683  ,-86.023,35.553,1249.68,54.08
a7bbb2,LXJ598  ,-115.9737,41.1709,13106.4,218.2
a5de8e,,-80.7648,27.698,746.76,88.69
a091fd,FDX431  ,-99.3519,34.9339,11285.22,247.46
abc726,N858XJ  ,-85.983,32.976,1493.52,63.08
ab6418,N833GC  ,-114.6756,36.0336,1021.08,64.19
a8f701,N677PC  ,-117.7962,34.0919,365.76,54.69
800dac,IGO435  ,77.1298,11.3783,7818.12,206.66
5110bf,TFL807  ,,,,0.0
800db8,IAD560  ,76.9231,28.1,3924.3,191.23
7c7cce,JST107  ,116.6363,-30.4143,9845.04,212.01
a3a4e4,N334CG  ,-91.9132,30.1971,9448.8,147.61
c03517,WJA215  ,-79.7052,47.3076,10972.8,192.83
a40d62,N360MC  ,-121.8329,37.5288,1493.52,132.5
a2d44a,OXF9846 ,-111.1473,33.0314,2369.82,56.74
800dae,SEJ7317 ,83.5642,21.8042,11574.78,236.68
ace718,CITT40  ,-97.311,37.8347,1043.94,85.2
a41447,FFT2001 ,-113.9821,35.7312,5372.1,196.13
800dba,IGO578  ,76.8455,13.1658,6705.6,198.45
343194,VLG458L ,2.013,38.9157,6027.42,199.15
ac34a1,PCM8650 ,-122.0426,39.0734,2125.98,85.16
a33ad3,N307RJ  ,-77.6849,39.4783,1082.04,48.66
ac34a0,FDX5601 ,133.2238,32.7275,10058.4,234.77
ab5d2c,DAL29   ,-13.1389,52.9204,9753.6,229.44
a4aaad,N40EA   ,-89.1877,40.0346,2438.4,92.13
8014b3,IGO6126 ,77.379,29.8843,8473.44,208.15
8014b4,IGO6875 ,77.3749,11.6335,4076.7,138.23
c0481d,ACA295  ,-115.6378,49.9335,10972.8,200.41
a069a8,N1257X  ,-98.679,30.4674,2217.42,62.61
ab774b,AAL429  ,-77.0393,38.8528,,6.43
4a09b1,AEZ9845 ,9.9569,45.6116,1280.16,141.9
c0481b,ROU1651 ,-73.8662,45.3835,670.56,90.29
a63a0f,N500BF  ,-81.0775,30.5706,12192.0,248.92
c0481c,ROU1540 ,-64.1231,46.3355,4168.14,195.69
4a09b2,AEZ3815 ,11.7804,42.8054,11887.2,236.57
8014ae,VTI912  ,76.0603,23.2793,6096.0,209.95
aa4414,N7601S  ,-72.5048,41.0827,1226.82,69.31
ad0722,N939AK  ,,,,36.53
a6a425,NKS51   ,-111.9022,35.4605,9136.38,224.21
ac47e2,N8901U  ,-98.0623,40.9906,2438.4,80.54
a39113,EDV5432 ,-76.1859,36.9091,60.96,63.89
393322,AFR74UV ,2.0779,48.8958,4015.74,195.19
4aca82,NSZ3374 ,17.4527,50.5345,10668.0,246.42
ad072a,DAL2868 ,-85.274,34.5465,7292.34,234.49
accd10,ASA408  ,-99.8709,44.9883,10668.0,264.28
4aca84,NSZ5DM  ,-2.8985,42.3751,10980.42,258.81
393320,AFR7309 ,7.0485,43.2732,3909.06,161.54
a69aaa,N52436  ,-112.2045,33.3235,792.48,56.9
a857cf,N637AT  ,-72.1797,42.4773,5798.82,174.16
a03164,N111RC  ,6.8658,43.6051,7620.0,131.28
393324,AFR33FH ,4.1532,47.8232,7924.8,233.02
a5477c,N4394L  ,-83.6598,33.1639,1417.32,57.89
a64d4c,SRY1501 ,-150.0365,61.1677,297.18,97.46
accd18,DAL2820 ,-79.9918,36.0408,10058.4,239.74
aaedcb,FDY392  ,-77.6177,39.3528,1089.66,98.59
5110e2,SAS2751 ,13.1146,55.33,4366.26,192.2
a0f4f6,DAL45   ,-71.9457,41.2594,7322.82,219.51
5110e8,SAS2987 ,12.7473,55.8112,1295.4,137.01
5110e9,SAS1920 ,11.1151,60.1953,,11.32
43ee26,2CAMP   ,-1.9362,37.6032,10972.8,191.78
a1a132,N204DH  ,-78.6138,40.7796,7620.0,244.37
5110e1,SAS1745 ,17.9267,59.6553,,0.0
ad9d1b,BXR8603 ,-123.1114,38.9918,1645.92,70.22
a91700,NKS859  ,-79.9193,26.0665,1958.34,143.09
a3f473,JBU1246 ,-75.7147,39.1787,9448.8,251.15
a9529a,N70EA   ,-88.7915,41.4088,4389.12,56.08
a63a27,N500CE  ,-82.2997,28.9341,2103.12,159.88
a1b449,RPA5844 ,-73.8743,40.7792,,1.29
5110ca,SAS44A  ,17.96,59.6729,2415.54,149.44
a0e1cf,N156PS  ,-111.9915,41.0382,1760.22,59.55
800da5,SEJ8152 ,87.9642,26.143,10668.0,233.9
ac7103,AAL2425 ,-98.4051,33.6297,6697.98,209.24
a234ef,ENY3819 ,-93.8772,30.1906,9448.8,226.92
aaf4c8,DAL437  ,-122.351,37.6438,365.76,99.7
a88d15,N650DR  ,-90.9338,34.9636,13106.4,217.25
a63a32,N500CR  ,-100.2226,31.0198,6400.8,123.41
402b12,GBOLV   ,-0.1976,50.8683,541.02,32.92
4aca8a,NSZ5336 ,0.6634,41.1252,10972.8,253.13
a7d725,EDV5484 ,-85.821,32.6834,5143.5,199.33
a1ad5a,SKW5586 ,-120.1305,44.8757,8618.22,182.04
a234f6,AAY502  ,-80.9463,28.3514,10584.18,226.18
aa3d03,N759RV  ,,,,71.52
a3f401,DAL1660 ,-89.8426,37.7208,5554.98,188.67
a27190,AMF1978 ,-122.4005,45.3122,3931.92,99.48
a6f28c,GJS4380 ,-84.3131,39.8561,1242.06,117.93
758323,CEB490  ,121.0802,14.5423,396.24,63.36
ab6458,JRE833  ,-85.4157,37.8732,1242.06,127.71
758321,APG608  ,121.3624,13.7088,5372.1,175.83
3c5efa,EWG3VY  ,9.5696,48.7552,1463.04,110.95
a0093e,N101JL  ,-84.7143,34.2579,5090.16,161.43
484673,PHFTO   ,9.1169,51.7203,1417.32,53.39
a4d7b9,N4109F  ,-81.921,33.2827,944.88,94.44
a2c170,N277KT  ,-81.5425,28.364,243.84,57.1
8014dc,IGO2207 ,78.1211,26.6418,11574.78,238.84
3b7b63,MILAN75 ,4.781,44.6129,3048.0,112.08
0d0b8b,AMX824  ,-98.7229,19.5746,5219.7,164.17
3c5eef,EWG94XE ,5.1884,51.8736,11277.6,277.12
8014da,VTI809  ,77.0373,23.5851,11887.2,233.0
3c5eee,EWG7EZ  ,7.1275,50.8816,137.16,113.91
4520e0,HLR555  ,24.3591,38.9424,9006.84,203.4
8014de,IGO2201 ,78.4443,26.7788,9387.84,248.85
a7c2fc,N6EL    ,-101.7112,31.388,10972.8,236.85
a16fa0,N192AG  ,-112.3885,33.4092,342.9,37.36
7c1c95,FD519   ,138.5272,-34.9475,,9.26
3c65da,DLH8HW  ,11.7502,48.3615,967.74,85.5
ac2dea,AAL316  ,-95.0898,29.8561,11582.4,226.27
a069e4,N1259M  ,-121.822,37.3383,,5.66
758335,PAL535  ,113.9636,3.7813,10972.8,249.77
4c49e2,PNC3T   ,9.0366,50.0748,12496.8,220.89
4c49e1,YUSPB   ,16.0291,41.6489,12192.0,214.48
a41487,EDG362  ,-87.6034,31.4167,13106.4,239.12
8014f2,AKJ1541 ,88.5985,22.896,1920.24,98.38
49530b,TAP15NC ,-5.7517,39.6868,9456.42,206.51
8014ed,VTI722  ,77.8728,28.3521,3589.02,131.0
4400eb,EJU39GT ,5.547,45.6698,5181.6,167.5
75831c,PAL211  ,121.0344,13.3532,6934.2,231.68
471f9a,WUK784  ,-0.2264,52.1881,2674.62,139.87
471f9f,WZZ278  ,25.937,40.4634,10058.4,228.44
758306,,123.6101,26.6661,10980.42,240.92
